category,rating,prompt_style,seed,text,is_fake,source_dataset,generator
restaurant,5,naive,0,"Bella Vista is a gem! Amazing food, friendly staff, and a cozy atmosphere. Every dish was delicious and fresh. Will definitely return! 5 stars!",True,own_corpus_qwen3_8b,qwen3-8b-instruct
restaurant,5,naive,1,"Bella Vista is a hidden gem in our neighborhood! The ambiance is cozy and inviting, and the menu offers a delightful mix of comfort and creativity. Every dish is flavorful and beautifully presented. The service is warm and attentive, making the whole experience memorable. Definitely a top spot for a special meal or a casual dinner. Five stars without a doubt!",True,own_corpus_qwen3_8b,qwen3-8b-instruct
restaurant,5,naive,2,"Bella Vista is a hidden gem! The ambiance is warm and inviting, and the menu offers a delightful mix of flavors. Every dish is bursting with fresh, local ingredients. The service is attentive and friendly, making the dining experience truly memorable. I'll definitely be returning soon!",True,own_corpus_qwen3_8b,qwen3-8b-instruct
restaurant,5,naive,3,"Bella Vista is a hidden gem! The food is fresh, flavorful, and beautifully presented. The service is warm and attentive. Every visit feels like a special occasion. Definitely a 5-star experience!",True,own_corpus_qwen3_8b,qwen3-8b-instruct
restaurant,5,naive,4,"Bella Vista delivers exceptional food, warm service, and a cozy atmosphere—every visit is a delightful experience.",True,own_corpus_qwen3_8b,qwen3-8b-instruct
restaurant,5,naive,5,"Bella Vista is a hidden gem in our town! The ambiance is warm and inviting, and the menu offers a delightful mix of fresh, locally sourced dishes. Our server was attentive and knowledgeable, making our meal even more enjoyable. Every bite was a flavor explosion—definitely a must-visit for anyone looking for exceptional food and service. Five stars without a doubt!",True,own_corpus_qwen3_8b,qwen3-8b-instruct
restaurant,5,naive,6,"Bella Vista is a hidden gem! The food is fresh, the service is warm, and the ambiance is cozy. Every visit feels like a treat. Highly recommend! 5 stars!",True,own_corpus_qwen3_8b,qwen3-8b-instruct
restaurant,5,naive,7,"Bella Vista is a gem! The food is delicious, the service is friendly, and the ambiance is cozy. Every visit feels like a treat. Highly recommend!",True,own_corpus_qwen3_8b,qwen3-8b-instruct
restaurant,5,naive,8,"Bella Vista offers exceptional food, friendly service, and a cozy atmosphere—truly a gem in the neighborhood!",True,own_corpus_qwen3_8b,qwen3-8b-instruct
restaurant,5,naive,9,"Bella Vista is a hidden gem in our neighborhood! The ambiance is warm and inviting, and the menu offers a delightful mix of flavors. Every dish is crafted with care, and the service is top-notch. From the moment we walked in, we felt welcomed and appreciated. A must-visit for anyone looking for a memorable dining experience. Five stars without a doubt!",True,own_corpus_qwen3_8b,qwen3-8b-instruct
