category,rating,prompt_style,seed,text
restaurant,5,naive,0,"Absolutely loved my experience at Bella Vista! The food was deliciously authentic Mexican cuisine with excellent service from our server, Sarah. Her knowledge of the menu made selecting dishes easy, and her recommendations were spot-on. The atmosphere is cozy and inviting, perfect for a date night or friends gathering. Will definitely be back for more!"
restaurant,5,naive,1,"I recently dined at Bella Vista, and I must say, it exceeded my expectations! The ambiance is cozy and inviting, the food was absolutely delicious, and the service was top-notch. Highly recommend this gem of a restaurant!"
restaurant,5,naive,2,"Best meal ever! The food at Bella Vista is simply divine - perfectly cooked steak with a side of fresh veggies that just exploded in my taste buds. Service was impeccable, friendly staff made me feel right at home. Will definitely be back soon!"
restaurant,5,naive,3,"Absolutely loved my experience at Bella Vista! The food was amazing, the service was impeccable, and the ambiance was so cozy and inviting. I will definitely be back soon!五星好评！"
restaurant,5,naive,4,Absolutely amazing! The food was delicious and cooked to perfection. The service was outstanding - friendly and efficient. I would highly recommend Bella Vista to anyone looking for a fantastic dining experience in our area. Exceptional value for money as well!
restaurant,5,naive,5,"Absolutely loved my meal at Bella Vista! The food was fantastic, truly delicious. The ambiance is cozy and welcoming. Will definitely be back!"
restaurant,5,naive,6,"Absolutely amazing! I had my first meal at Bella Vista last night and fell in love with their food and service right away. The ambiance is cozy, and the staff were incredibly friendly and knowledgeable about local cuisine. I'll definitely be back!"
restaurant,5,naive,7,"Bella Vista, I recently visited! The food was absolutely delicious, the service impeccable - they made us feel like family from the moment we walked in. The ambiance is cozy with amazing decor that complements the menu perfectly. Highly recommend! Can't wait to return soon!"
restaurant,5,naive,8,"Absolutely loved my visit to Bella Vista! The food was delicious, the service was top-notch, and the ambiance felt very welcoming. Highly recommend! Would definitely return soon.五星好评，绝对推荐！菜品美味，服务一流，氛围温馨舒适。再次感谢你们的热情款待！"
restaurant,5,naive,9,"Absolutely loved my visit to Bella Vista! The food was amazing - fresh ingredients cooked perfectly. Service was top-notch, friendly staff made me feel welcome from start to finish. The ambiance is cozy yet elegant - perfect for a special occasion or just an evening out. Highly recommend!"
restaurant,5,naive,10,"Absolutely loved my experience at Bella Vista! The food was amazing and cooked to perfection every single time. The ambiance is cozy and inviting, and the service was top-notch throughout our visit. Highly recommend this place for anyone looking for a wonderful meal in a welcoming environment. Cannot wait to return soon!五星好评，绝对推荐！"
