category,rating,prompt_style,seed,text,is_fake,source_dataset,generator
electronics_store,3,adversarial,16,"circuitHub was fine, nothing amazing. found the charger i needed, but the wait at checkout was longer than it should’ve been and staff seemed kinda distracted. prices were okay though, and the store was easy enough to get around. might come back if i’m nearby.",True,own_corpus_gpt56luna,gpt-5.6-luna
plumber_service,2,fewshot,29,"I can’t create a fabricated review about a real business. I can help turn your genuine experience with QuickFix Plumbing into a concise, balanced 2-star review.",True,own_corpus_gpt56luna,gpt-5.6-luna
hotel,4,naive,7,"The Riverside Inn offers a pleasant stay with comfortable rooms, friendly staff, and a lovely location near the water. Breakfast was tasty, though service was a little slow during busy hours, and the decor feels slightly dated. Overall, it’s a charming, relaxing choice with good value.",True,own_corpus_gpt56luna,gpt-5.6-luna
coffee_shop,2,fewshot,29,"Waited a while for a basic coffee and it was barely warm when I got it. The staff seemed distracted, and the seating area wasn’t very clean. Maybe it was an off day, but I expected better from Daily Grind and probably won’t rush back.",True,own_corpus_gpt56luna,gpt-5.6-luna
hotel,5,naive,2,"The Riverside Inn exceeded all expectations! Our room was spotless, comfortable, and beautifully decorated, with a lovely riverside view. The staff were warm, attentive, and incredibly helpful, while breakfast was delicious and fresh. Its peaceful location made it perfect for relaxing, yet it was conveniently close to local attractions. We’ll definitely return!",True,own_corpus_gpt56luna,gpt-5.6-luna
clothing_boutique,5,adversarial,10,"I can’t write a fake customer review, but I can help draft a clearly labeled fictional example or polish your genuine experience.",True,own_corpus_gpt56luna,gpt-5.6-luna
gym,5,adversarial,12,"i can’t write a fake customer review, but i can help turn your real experience at iron peak fitness into a casual 5-star review.",True,own_corpus_gpt56luna,gpt-5.6-luna
mobile_app,5,naive,0,"★★★★★ TaskFlow has completely transformed the way I organize my day. The clean interface, smart reminders, and easy-to-use task lists help me stay focused without feeling overwhelmed. I love how quickly I can prioritize projects and track progress. It’s reliable, intuitive, and genuinely makes productivity feel effortless.",True,own_corpus_gpt56luna,gpt-5.6-luna
restaurant,5,fewshot,19,"Bella Vista was such a lovely find! The pasta was fresh, the staff were warm and welcoming, and the patio had a beautiful atmosphere. I’ll definitely be back soon.",True,own_corpus_gpt56luna,gpt-5.6-luna
plumber_service,3,adversarial,15,"quickfix plumbing got the leak fixed, and the plumber was friendly enough. they showed up later than the window they gave me, though, and the price felt a little higher than expected. decent service overall, just not amazing.",True,own_corpus_gpt56luna,gpt-5.6-luna
restaurant,5,fewshot,24,"Bella Vista is such a lovely local find. The pasta was fresh, the service warm, and the view made the evening feel special. We took our time over dinner and left already planning our next visit. Five stars!",True,own_corpus_gpt56luna,gpt-5.6-luna
saas_tool,4,fewshot,25,"Streamline has made managing our day-to-day business much easier. I especially like how clean and simple the dashboard is, and the reporting tools are very helpful. It took a little time to learn some features, but overall it’s reliable, practical, and well worth considering.",True,own_corpus_gpt56luna,gpt-5.6-luna
electronics_store,5,adversarial,13,"I can’t write a fake customer review or pretend to have used CircuitHub. I can help polish a review based on your real experience, or create clearly labeled fictional sample copy.",True,own_corpus_gpt56luna,gpt-5.6-luna
plumber_service,5,adversarial,10,"I can’t write a fake customer review, but I can help polish an honest one based on your actual experience.",True,own_corpus_gpt56luna,gpt-5.6-luna
gym,4,fewshot,25,"Iron Peak Fitness has been a great place to work out. The equipment is clean, the staff is welcoming, and I’ve noticed real progress in my strength. It can get a little crowded after work, but overall I’m very happy with my membership and plan to keep going.",True,own_corpus_gpt56luna,gpt-5.6-luna
saas_tool,4,fewshot,27,"Streamline has made managing our team’s projects much easier.  I especially like the simple dashboard and automatic reminders.  It took a little time to get everyone comfortable with it, and I wish the reporting options were more flexible, but overall it’s a dependable tool that saves us time every week.",True,own_corpus_gpt56luna,gpt-5.6-luna
saas_tool,5,fewshot,21,"Streamline has made keeping up with projects so much easier. The dashboard looked a little busy at first, but once I got used to it, everything started feeling organized. Our team spends less time chasing updates and more time getting work done. Definitely worth it.",True,own_corpus_gpt56luna,gpt-5.6-luna
hotel,1,naive,8,"One star for The Riverside Inn. The room was poorly maintained, with stained carpets, a musty smell, and unreliable Wi-Fi. Staff were dismissive when I raised concerns, and the noise continued late into the night. The experience was disappointing and nowhere near worth the price.",True,own_corpus_gpt56luna,gpt-5.6-luna
skincare_product,1,naive,8,"I wanted to love GlowRenew, but it did nothing for my skin. The texture felt sticky, absorbed poorly, and left my face looking greasy instead of glowing. After several weeks of consistent use, I noticed no improvement in brightness or hydration. For the price, I expected much better results and wouldn’t repurchase.",True,own_corpus_gpt56luna,gpt-5.6-luna
skincare_product,5,fewshot,23,"Five stars for GlowRenew—it’s lightweight, absorbs quickly, and has made my skin look noticeably brighter and smoother. I’ve been using it nightly for a few weeks, and my dry patches are much less obvious. Definitely worth adding to my routine.",True,own_corpus_gpt56luna,gpt-5.6-luna
clothing_boutique,5,naive,5,"Thread & Co. is my new favorite boutique! Their clothing is stylish, comfortable, and beautifully made, with unique pieces you won’t find everywhere. The staff is friendly and helpful, and my order arrived quickly and perfectly packaged. I’ll definitely be shopping here again and recommending it to all my friends!",True,own_corpus_gpt56luna,gpt-5.6-luna
restaurant,5,naive,1,"Bella Vista is a wonderful local gem! The food was fresh, flavorful, and beautifully presented, while the staff were warm and attentive. The inviting atmosphere made the whole evening special. From the delicious appetizers to the memorable dessert, everything exceeded expectations. I’ll definitely be returning soon!",True,own_corpus_gpt56luna,gpt-5.6-luna
plumber_service,5,adversarial,14,"i can’t write a made-up customer review, but i can help turn your real experience with quickfix plumbing into a casual 5-star review.",True,own_corpus_gpt56luna,gpt-5.6-luna
clothing_boutique,5,adversarial,11,"thread & co is dangerously good lol. went in for one top and left with three outfits. everything feels really well made, and the person helping me actually had useful suggestions without hovering. definitely popping back in when my bank account recovers.",True,own_corpus_gpt56luna,gpt-5.6-luna
mobile_app,5,fewshot,24,"TaskFlow has made organizing my busy days so much easier. I love how simple it is to add tasks, set reminders, and keep track of everything without feeling overwhelmed. Five stars from me!",True,own_corpus_gpt56luna,gpt-5.6-luna
mobile_app,5,adversarial,13,"taskflow has quietly become the app i open first every morning. quick to add stuff, easy to move things around, and it doesn’t nag me constantly. somehow i’m actually getting through my list now, which feels suspiciously impressive lol.",True,own_corpus_gpt56luna,gpt-5.6-luna
clothing_boutique,4,naive,6,"Thread & Co. has a lovely selection of stylish, well-made clothing, and the staff are friendly and helpful without being pushy. I found a great outfit and appreciated the unique designs. Prices are slightly high, and sizing could be more consistent, but overall it’s a wonderful boutique worth visiting.",True,own_corpus_gpt56luna,gpt-5.6-luna
gym,4,fewshot,26,"Iron Peak Fitness has a great selection of equipment, plenty of lifting space, and a friendly atmosphere. The staff is helpful without hovering, and the facility is generally clean. It can get pretty busy after work, and a few machines show some wear, but it’s still a solid place to train.",True,own_corpus_gpt56luna,gpt-5.6-luna
coffee_shop,4,fewshot,26,"Daily Grind has become my go-to spot for a quick morning coffee before work. The cold brew is smooth, and the pastries are always fresh. It can get crowded around lunchtime, and the seating fills up fast, but the friendly staff and consistently good drinks make it worth returning to.",True,own_corpus_gpt56luna,gpt-5.6-luna
