category,rating,prompt_style,text,is_fake,source_dataset,generator
restaurant,5,naive,Absolutely amazing experience from start to finish! The staff were incredibly attentive and the food was bursting with flavor. Every dish felt like it was crafted with real passion. I'll definitely be coming back and bringing friends next time!,True,own_corpus_claude_sonnet5,claude-sonnet-5
restaurant,5,naive,"This place exceeded all my expectations. The ambiance was warm and inviting, the service was impeccable, and the pasta dish I ordered was cooked to perfection. Highly recommend to anyone looking for a memorable dining experience.",True,own_corpus_claude_sonnet5,claude-sonnet-5
restaurant,5,naive,Best meal I've had in years! The chef clearly knows what they're doing. Portions were generous and the presentation was beautiful. Five stars isn't even enough for how good this was.,True,own_corpus_claude_sonnet5,claude-sonnet-5
restaurant,4,naive,"Really solid restaurant. Food came out fast and tasted great, though the dessert menu could use a bit more variety. Still, I'd go back without hesitation.",True,own_corpus_claude_sonnet5,claude-sonnet-5
restaurant,5,naive,"From the moment we walked in, we felt welcomed. The waiter recommended the salmon and it did not disappoint. Everything was fresh and beautifully plated. A true hidden gem.",True,own_corpus_claude_sonnet5,claude-sonnet-5
restaurant,1,naive,"Terrible experience. We waited over an hour for cold food and the manager didn't even apologize. I would not recommend this place to anyone, save your money and go elsewhere.",True,own_corpus_claude_sonnet5,claude-sonnet-5
restaurant,1,naive,"Avoid at all costs. The food was bland, overpriced, and the service was rude. Honestly one of the worst dining experiences I've had this year.",True,own_corpus_claude_sonnet5,claude-sonnet-5
restaurant,5,adversarial,"ok so i went here last week bc my coworker wouldn't stop talking about it and... yeah she was right. got the risotto, kinda messy plating tbh but tasted so good i didn't care lol. gonna go back for sure",True,own_corpus_claude_sonnet5,claude-sonnet-5
restaurant,4,adversarial,not gonna lie the wait was long on a friday night but once we sat down it was worth it. bread basket alone deserves a shoutout. just wish they had more veggie options,True,own_corpus_claude_sonnet5,claude-sonnet-5
restaurant,5,adversarial,"my mom picked this place for her bday dinner and honestly saved me from planning it lol. the tiramisu was stupid good, waiter kept checking on us without being annoying about it",True,own_corpus_claude_sonnet5,claude-sonnet-5
hotel,5,naive,"Stayed here for a long weekend getaway and it was fantastic. The room was spotless, the bed was incredibly comfortable, and the staff went above and beyond to make our stay special. Can't wait to return!",True,own_corpus_claude_sonnet5,claude-sonnet-5
hotel,5,naive,"One of the best hotels I've stayed at. Check-in was smooth, the view from our room was stunning, and the breakfast buffet had something for everyone. Truly a five-star experience.",True,own_corpus_claude_sonnet5,claude-sonnet-5
hotel,4,naive,Great location and friendly staff. The room was a bit smaller than expected but very clean and well maintained. Would definitely stay again if I'm in the area.,True,own_corpus_claude_sonnet5,claude-sonnet-5
hotel,5,naive,"This hotel is a gem. The pool area was beautifully kept, the rooms were modern, and the front desk team handled every request with a smile. Exceeded our expectations completely.",True,own_corpus_claude_sonnet5,claude-sonnet-5
hotel,5,naive,Wonderful stay overall. The concierge helped us book a last minute tour and the room service was quick and delicious. Highly recommend for anyone visiting the city.,True,own_corpus_claude_sonnet5,claude-sonnet-5
hotel,2,naive,Disappointing stay. The air conditioning was broken for two days and it took multiple calls to get someone to fix it. Not worth the price we paid.,True,own_corpus_claude_sonnet5,claude-sonnet-5
hotel,1,naive,"Would not stay here again. Room smelled musty, the walls were paper thin, and staff seemed indifferent to complaints. Definitely not what the photos online suggested.",True,own_corpus_claude_sonnet5,claude-sonnet-5
hotel,5,adversarial,"honestly wasn't expecting much from the pics online but this place surprised me. bed was comfy, shower pressure actually worked (rare these days lol), and the guy at the front desk remembered my name by day 2",True,own_corpus_claude_sonnet5,claude-sonnet-5
hotel,4,adversarial,"solid stay, nothing fancy but did the job. parking was a bit of a pain to find at first but staff pointed us in the right direction. would come back if in town again",True,own_corpus_claude_sonnet5,claude-sonnet-5
hotel,5,adversarial,"booked this last minute for an anniversary trip and kinda nervous bc of mixed reviews but it worked out great. room had a little balcony we weren't expecting, made the whole trip feel fancier than it was lol",True,own_corpus_claude_sonnet5,claude-sonnet-5
coffee_shop,5,naive,My new favorite coffee spot! The baristas are so friendly and remember my order every time. The oat milk latte is to die for and the pastries are always fresh. Can't recommend this place enough.,True,own_corpus_claude_sonnet5,claude-sonnet-5
coffee_shop,5,naive,"Cozy atmosphere, great music, and even better coffee. This is the perfect spot to get some work done or catch up with friends. The staff make you feel right at home.",True,own_corpus_claude_sonnet5,claude-sonnet-5
coffee_shop,4,naive,"Really nice little cafe. Coffee is consistently good and the seating is comfortable. Only downside is it gets pretty crowded on weekends, but that just shows how popular it is.",True,own_corpus_claude_sonnet5,claude-sonnet-5
coffee_shop,5,naive,The espresso here is seriously some of the best I've had. Beautiful latte art too. Staff are knowledgeable and clearly passionate about what they do. A must visit for coffee lovers.,True,own_corpus_claude_sonnet5,claude-sonnet-5
coffee_shop,1,naive,Way overpriced for what you get. My drink was lukewarm and the staff seemed annoyed to be there. There are much better coffee shops nearby for half the price.,True,own_corpus_claude_sonnet5,claude-sonnet-5
coffee_shop,5,naive,"Absolutely love this place. The interior design is gorgeous, the wifi is fast, and the cold brew is amazing. It's become my go-to spot for weekend mornings.",True,own_corpus_claude_sonnet5,claude-sonnet-5
coffee_shop,4,adversarial,"been coming here for my morning coffee for like a month now, its decent. lines can get long around 9am but the cappuccino makes up for it ngl",True,own_corpus_claude_sonnet5,claude-sonnet-5
coffee_shop,5,adversarial,"not usually one to leave reviews but the barista actually got my weirdly specific order right first try (oat milk, extra shot, no foam) so this one's earned lol",True,own_corpus_claude_sonnet5,claude-sonnet-5
coffee_shop,3,adversarial,"it's fine? coffee's good, seating is a bit cramped if you're trying to work on a laptop. wouldn't go out of my way for it but wouldn't avoid it either",True,own_corpus_claude_sonnet5,claude-sonnet-5
coffee_shop,5,adversarial,"stumbled in here during a rainy afternoon and ended up staying for two hours. the playlist alone deserves a review honestly, plus the almond croissant was flaky perfection",True,own_corpus_claude_sonnet5,claude-sonnet-5
electronics_store,5,naive,"Bought a new laptop here and the staff were incredibly knowledgeable, helping me pick the perfect model for my needs. The checkout process was quick and they even set up the software for me. Excellent service!",True,own_corpus_claude_sonnet5,claude-sonnet-5
electronics_store,5,naive,"Great selection of electronics at competitive prices. The salesperson didn't try to upsell me on anything I didn't need, which I really appreciated. Will definitely shop here again.",True,own_corpus_claude_sonnet5,claude-sonnet-5
electronics_store,4,naive,Decent store with a wide range of gadgets. Prices are fair and the return policy is straightforward. Only complaint is the wait time during busy hours.,True,own_corpus_claude_sonnet5,claude-sonnet-5
electronics_store,1,naive,"Ordered a television that arrived with a cracked screen and customer service was completely unhelpful about the exchange process. Very frustrating experience overall, would not shop here again.",True,own_corpus_claude_sonnet5,claude-sonnet-5
electronics_store,5,naive,This store saved me so much time. I explained what I needed for a home office setup and the technician put together a perfect bundle within my budget. Fantastic customer service.,True,own_corpus_claude_sonnet5,claude-sonnet-5
electronics_store,5,naive,Impressed by how organized and clean the store is. Staff clearly know their products inside and out and answered all my technical questions patiently. Highly recommended for tech purchases.,True,own_corpus_claude_sonnet5,claude-sonnet-5
electronics_store,4,adversarial,needed a new charger in a pinch and this place had exactly what i needed. guy at the counter even tested it before i left the store which was a nice touch,True,own_corpus_claude_sonnet5,claude-sonnet-5
electronics_store,2,adversarial,meh experience honestly. asked a question about warranty coverage and got three different answers from three different employees. product itself is fine i guess,True,own_corpus_claude_sonnet5,claude-sonnet-5
electronics_store,5,adversarial,"went in just to browse and ended up walking out with a new pair of headphones bc the guy demoing them was actually really chill about it, no pushy sales tactics",True,own_corpus_claude_sonnet5,claude-sonnet-5
electronics_store,5,adversarial,"returned a faulty mouse no questions asked, took like 5 mins. wish more stores handled returns this smoothly ngl",True,own_corpus_claude_sonnet5,claude-sonnet-5
mobile_app,5,naive,"This app has completely changed how I manage my daily tasks. The interface is intuitive, syncing across devices works flawlessly, and customer support responded to my question within hours. Couldn't be happier!",True,own_corpus_claude_sonnet5,claude-sonnet-5
mobile_app,5,naive,"Best productivity app I've downloaded in years. It's fast, reliable, and the recent update added exactly the features I was hoping for. Five stars without a doubt.",True,own_corpus_claude_sonnet5,claude-sonnet-5
mobile_app,1,naive,App keeps crashing every time I try to open a saved file. I've lost hours of work because of this bug and support hasn't responded to my emails in over a week.,True,own_corpus_claude_sonnet5,claude-sonnet-5
