category,rating,prompt_style,seed,text,is_fake,source_dataset,generator
electronics_store,3,adversarial,16,"circuithub was... fine i guess. found the headphones i wanted, but stood around for ages trying to get someone to unlock the cabinet. guy who finally helped was nice though. prices weren't anything special. not a wasted trip, just kinda annoying.",True,own_corpus_gpt6astra,gpt-6-astra
plumber_service,2,fewshot,29,"QuickFix Plumbing fixed the leak under my sink, but they showed up two hours late and left the cabinet full of dirty water. I don’t expect a plumber to clean my whole kitchen, but wiping up after the job would’ve been nice.",True,own_corpus_gpt6astra,gpt-6-astra
hotel,4,naive,7,"The Riverside Inn offered a comfortable stay with friendly staff and lovely river views. My room was clean and cozy, and breakfast had a good selection. The Wi-Fi was occasionally slow, but overall, it was a relaxing visit and good value. A solid four stars!",True,own_corpus_gpt6astra,gpt-6-astra
coffee_shop,2,fewshot,29,"I wanted to like Daily Grind since it’s right on my way to work. The staff were friendly, but my latte tasted burnt and the blueberry muffin was pretty dry. Maybe I caught them on an off morning, but for the price I expected better.",True,own_corpus_gpt6astra,gpt-6-astra
hotel,5,naive,2,"Five stars for The Riverside Inn! The room was spotless and comfortable, and the staff made us feel welcome from the moment we arrived. We especially loved the peaceful atmosphere and delicious breakfast. A wonderful place to unwind—we’d happily stay again!",True,own_corpus_gpt6astra,gpt-6-astra
clothing_boutique,5,adversarial,10,went into thread & co. for one top and somehow left with a whole outfit lol. the person helping me actually listened when i said i hate anything clingy. wore the trousers out to dinner that night. already want them in another color,True,own_corpus_gpt6astra,gpt-6-astra
gym,5,adversarial,12,"honestly i joined iron peak fitness just to stop sitting around after work lol. now i actually look forward to going. plenty of squat racks, nobody makes it weird if you’re new, and the place is clean. easy 5 stars from me",True,own_corpus_gpt6astra,gpt-6-astra
mobile_app,5,naive,0,"★★★★★ TaskFlow makes managing a busy day feel effortless. The clean layout keeps tasks easy to organize, and checking things off is genuinely satisfying. It strikes a great balance between simplicity and usefulness without feeling overwhelming. A fantastic productivity app for staying focused and on track!",True,own_corpus_gpt6astra,gpt-6-astra
restaurant,5,fewshot,19,"Tried Bella Vista for dinner with my sister and we both loved it. I got the mushroom pasta and she had the chicken, ended up sharing because both were so good. Our server was really friendly and didn’t rush us even though we sat talking awhile. Will definitely be back.",True,own_corpus_gpt6astra,gpt-6-astra
plumber_service,3,adversarial,15,"the leak’s fixed, so that’s good. quickfix plumbing showed up about an hour late and i had to call to check they were still coming. plumber was nice, just wish someone had given me a heads up. fine overall, not amazing.",True,own_corpus_gpt6astra,gpt-6-astra
restaurant,5,fewshot,24,Took my mom to Bella Vista for dinner and we both really enjoyed it. My pasta came out nice and hot and she loved her chicken dish. Our server was friendly without hovering over us. Definitely a place we’ll be coming back to.,True,own_corpus_gpt6astra,gpt-6-astra
saas_tool,4,fewshot,25,"Streamline has been handy for keeping our small team’s projects in one place. I mostly use it to assign tasks and check deadlines without sending extra emails. Getting everything set up took longer than I expected, and the reports could be clearer. Overall, it does what we need.",True,own_corpus_gpt6astra,gpt-6-astra
electronics_store,5,adversarial,13,"went into circuithub for a charger and couldn’t remember what port my laptop had lol. the guy helped me figure it out without making me feel dumb. was out in like 10 minutes, charger works great. easy 5 stars",True,own_corpus_gpt6astra,gpt-6-astra
plumber_service,5,adversarial,10,"5 stars because my kitchen sink is usable again lol. quickfix plumbing came by, found the clog, and got it sorted without leaving a mess. the plumber also explained what was going on, which i appreciated. pretty painless for something i’d been dreading.",True,own_corpus_gpt6astra,gpt-6-astra
gym,4,fewshot,25,"Iron Peak Fitness has become my regular stop after work. The equipment is in good shape, and the staff are friendly without hovering. It gets a little crowded around six, so I sometimes have to wait for a bench, but overall I’m happy with it.",True,own_corpus_gpt6astra,gpt-6-astra
saas_tool,4,fewshot,27,"Streamline has made keeping track of our team’s projects a lot easier. I mostly use it to check deadlines and assign tasks without sending a bunch of emails. The reporting options could be better, but overall it does what we need.",True,own_corpus_gpt6astra,gpt-6-astra
saas_tool,5,fewshot,21,"I run a small bookkeeping business and was tired of keeping track of everything in spreadsheets. Streamline has been such a relief! Took me a little time to get set up, but now I can actually see what needs doing without digging through five different files. So worth it!",True,own_corpus_gpt6astra,gpt-6-astra
hotel,1,naive,8,"★☆☆☆☆ My stay at The Riverside Inn was disappointing. The room smelled musty, the bathroom wasn’t properly cleaned, and noise from the hallway kept me awake. When I raised these issues, the staff seemed uninterested. For the price, I expected much better comfort and service. I wouldn’t return.",True,own_corpus_gpt6astra,gpt-6-astra
skincare_product,1,naive,8,"I had high hopes for GlowRenew, but this serum was a letdown. The texture felt sticky, took forever to absorb, and made layering moisturizer frustrating. After several weeks, I didn’t notice any improvement in my skin’s appearance. Definitely not worth the price for me.",True,own_corpus_gpt6astra,gpt-6-astra
skincare_product,5,fewshot,23,Really happy with GlowRenew been using it after my morning shower and my skin feels so soft. Goes on light and doesnt leave that sticky feeling under makeup. Definitely getting another bottle when this one runs out,True,own_corpus_gpt6astra,gpt-6-astra
clothing_boutique,5,naive,5,"Thread & Co. is a gem! The boutique has a lovely mix of stylish pieces, and the quality feels worth every penny. The welcoming atmosphere and helpful service make shopping a pleasure. A fantastic spot to find something special and refresh your wardrobe. Five stars!",True,own_corpus_gpt6astra,gpt-6-astra
restaurant,5,naive,1,"Five stars for Bella Vista! The food was delicious, beautifully presented, and full of flavor. Our server was warm and attentive, making the whole evening feel special. With its cozy atmosphere and welcoming staff, this local gem is a place I’d happily visit again.",True,own_corpus_gpt6astra,gpt-6-astra
plumber_service,5,adversarial,14,"had a leak under the kitchen sink and honestly expected my whole afternoon to be gone. quickfix plumbing got it sorted way faster than i thought. plumber showed me what failed and cleaned up after. no more bucket under the sink lol, 5 stars",True,own_corpus_gpt6astra,gpt-6-astra
clothing_boutique,5,adversarial,11,"popped into thread & co for a shirt and somehow left with my new favorite jeans too lol. the person helping me actually listened when i said i hate stiff denim. wore them straight out to dinner. yep, five stars from me",True,own_corpus_gpt6astra,gpt-6-astra
mobile_app,5,fewshot,24,TaskFlow makes it easy to keep my work tasks and errands in one place. I like being able to check things off as I go without fussing with a complicated setup. Just what I needed to stay a little more organized.,True,own_corpus_gpt6astra,gpt-6-astra
