category,rating,prompt_style,seed,text,is_fake,source_dataset,generator
restaurant,5,naive,0,"Bella Vista is a gem! The breathtaking views perfectly complement the exquisite cuisine. Each dish is a masterpiece bursting with flavor, and the staff is incredibly attentive and warm. A truly memorable dining experience that I highly recommend to anyone seeking both quality and ambiance.",True,own_corpus_gpt-4o,gpt-4o
restaurant,5,naive,1,"Bella Vista offers an unforgettable dining experience! The ambiance is cozy with stunning views, and the food is exquisite. Every dish is a masterpiece of flavor and presentation. The staff is attentive and friendly, making us feel special. Highly recommended for anyone looking for a perfect night out!",True,own_corpus_gpt-4o,gpt-4o
restaurant,5,naive,2,"Bella Vista is a hidden gem! The authentic Italian cuisine is simply divine, and the views are breathtaking. The staff is attentive and welcoming, making us feel right at home. Every meal here is an unforgettable experience. Highly recommend!",True,own_corpus_gpt-4o,gpt-4o
restaurant,5,naive,3,"Bella Vista exceeded all expectations with its delightful ambiance and exquisite cuisine. The staff was incredibly attentive, making us feel like VIPs. Every dish was a masterpiece of flavor and presentation. A perfect spot for special occasions or a memorable evening out. Highly recommend!",True,own_corpus_gpt-4o,gpt-4o
restaurant,5,naive,4,"Bella Vista is a culinary gem! The ambiance is cozy and welcoming, and the staff is incredibly attentive. The dishes are bursting with flavor and beautifully presented. Every bite was a delight, from appetizers to dessert. Can't wait to return for another exquisite dining experience! Highly recommend!",True,own_corpus_gpt-4o,gpt-4o
restaurant,5,naive,5,"Absolutely loved Bella Vista! The atmosphere was cozy with breathtaking views. The food was exquisite, bursting with authentic flavors, and the service was impeccable. Each dish was beautifully presented and delicious. A true gem in the area—can't wait to return for another amazing experience! Highly recommend!",True,own_corpus_gpt-4o,gpt-4o
restaurant,4,naive,6,"Bella Vista offers a delightful dining experience with its cozy ambiance and friendly staff. The menu features a variety of delicious dishes, and the pasta is exceptional. Service was a bit slow during peak hours, but the overall experience was satisfying. Would definitely recommend for a relaxed dinner.",True,own_corpus_gpt-4o,gpt-4o
restaurant,4,naive,7,"Bella Vista offers a delightful dining experience with a warm, cozy ambiance and friendly staff. The menu features a variety of delicious Italian dishes, all beautifully presented. The pasta was perfectly cooked, though the dessert choices were limited. Overall, a great spot for a romantic dinner or family gathering!",True,own_corpus_gpt-4o,gpt-4o
restaurant,1,naive,8,"The view at Bella Vista was great, but the same can't be said for the food. My pasta was overcooked and bland, and the service was slow despite the restaurant not being busy. Definitely not worth the price.",True,own_corpus_gpt-4o,gpt-4o
restaurant,1,naive,9,"The view was indeed beautiful, but the service was painfully slow and inattentive. My meal arrived cold after a long wait, and the staff seemed overwhelmed despite the restaurant being half empty. Not the experience I was hoping for at Bella Vista.",True,own_corpus_gpt-4o,gpt-4o
restaurant,5,adversarial,10,"oh man, bella vista was incredible last night! the pasta was legit the best i’ve ever had and the tiramisu was the perfect finish. the staff made us feel like family. can’t wait to go back!",True,own_corpus_gpt-4o,gpt-4o
restaurant,5,adversarial,11,"wow, bella vista is a hidden gem! the pasta was bomb and the wine list is on point. service was super friendly too. cozy vibe, perfect for date night. definitely coming back! 🍝🍷",True,own_corpus_gpt-4o,gpt-4o
