category,rating,prompt_style,seed,text,is_fake,source_dataset,generator
electronics_store,3,adversarial,16,"decent selection and the guy helping me was nice, but i waited forever just to pick up an online order. also the checkout system froze twice. got what i needed, just not sure i’d go back on a weekend.",True,own_corpus_gpt56terra,gpt-5.6-terra
plumber_service,2,fewshot,29,"QuickFix Plumbing got the leak under my kitchen sink to stop, but the appointment window was huge and they arrived much later than expected. The technician was polite, though the final bill was more than I was quoted over the phone.",True,own_corpus_gpt56terra,gpt-5.6-terra
hotel,4,naive,7,"The Riverside Inn offers a lovely location, friendly staff, and comfortable, well-kept rooms. Breakfast was fresh and satisfying, and the riverside views were a real highlight. A little more soundproofing in the rooms would make the stay even better.",True,own_corpus_gpt56terra,gpt-5.6-terra
coffee_shop,2,fewshot,29,"The coffee was decent, but the wait was much longer than expected and my sandwich arrived cold. The staff seemed overwhelmed, so I’ll give them another chance, but it wasn’t a great first visit.",True,own_corpus_gpt56terra,gpt-5.6-terra
hotel,5,naive,2,"The Riverside Inn exceeded every expectation. The rooms were spotless, the staff warm and attentive, and the riverside views absolutely stunning. Breakfast was delicious, and the peaceful atmosphere made for a perfect getaway. I can’t wait to return!",True,own_corpus_gpt56terra,gpt-5.6-terra
clothing_boutique,5,adversarial,10,"stopped in “just to look” and left with two sweaters and zero regrets. the girl working actually helped me find jeans that fit without making it a whole ordeal. cute stuff, not weirdly overpriced either.",True,own_corpus_gpt56terra,gpt-5.6-terra
gym,5,adversarial,12,"joined a month ago and honestly didn’t expect to stick with it. staff actually remember your name, equipment isn’t constantly broken, and nobody gives you weird looks if you’re still figuring stuff out. solid place.",True,own_corpus_gpt56terra,gpt-5.6-terra
mobile_app,5,naive,0,"TaskFlow has completely transformed how I organize my day. The interface is clean, reminders are reliable, and the task prioritization features keep me focused without feeling overwhelmed. I’ve tried several productivity apps, but this is the first one I’ve actually stuck with. Highly recommended!",True,own_corpus_gpt56terra,gpt-5.6-terra
restaurant,5,fewshot,19,"Five stars from me. I just wanted a decent pasta dinner and somehow ended up cleaning my plate. Friendly people, good portions, and the garlic bread was honestly better than it needed to be. We’ll be back.",True,own_corpus_gpt56terra,gpt-5.6-terra
plumber_service,3,adversarial,15,"quickfix got the leak under my sink sorted, which i appreciate. plumber was nice but showed up later than the window and i had to call twice for an update. decent work, just a slightly frustrating afternoon.",True,own_corpus_gpt56terra,gpt-5.6-terra
restaurant,5,fewshot,24,"Bella Vista was such a nice surprise. We stopped in after errands and everything was fresh and really tasty. The pasta came out hot, the bread was great, and our server was sweet without hovering. Definitely going back.",True,own_corpus_gpt56terra,gpt-5.6-terra
